full_text,date_published,views,tags,target,source,views_clean,title_sum_llm,views_clean_median,tags_no_nan,full_text_len,cut_text,url,title
"МОСКВА, 14 апр - РИА Новости. Американская певица Кэти Перри заявила в интервью телеканалу CNN, что определенно напишет песню о пережитом ею полете в космос.",2025-04-03 23:31:00,5.0,"['Наука', 'Кэти Перри (Хадсон)', 'Джефф Безос', 'В мире', 'Космос - РИА Наука']",True,ria.ru,5.0,Кэти Перри напишет песню о полете в космос,5.0,"['Наука', 'Кэти Перри (Хадсон)', 'Джефф Безос', 'В мире', 'Космос - РИА Наука']",157,"МОСКВА, 14 апр - РИА Новости. Американская певица Кэти Перри заявила в интервью телеканалу CNN, что определенно напишет песню о пережитом ею полете в космос.",,
"ВАШИНГТОН, 14 апр - РИА Новости. Защита россиянина Дениса Постового, обвиняемого в США в незаконных поставках электроники военного назначения в РФ, просит отпустить его под залог, следует из поданного в суд ходатайства.",2025-04-03 23:30:00,26.0,"['США', 'Россия', 'Флорида', 'В мире']",True,ria.ru,26.0,"Защита россиянина, обвиняемого в США, попросила освободить его под залог",26.0,"['США', 'Россия', 'Флорида', 'В мире']",219,"ВАШИНГТОН, 14 апр - РИА Новости. Защита россиянина Дениса Постового, обвиняемого в США в незаконных поставках электроники военного назначения в РФ, просит отпустить его под залог, следует из поданного в суд ходатайства.",,
"МОСКВА, 14 апр — РИА Новости. Американский президент Дональд Трамп теряет терпение из-за Владимира Зеленского, заявил профессор Университета Юго-Восточной Норвегии Гленн Дизен в соцсети Х.",2025-04-03 23:29:00,223.0,"['В мире', 'Украина', 'Европа', 'Дональд Трамп', 'Владимир Зеленский']",True,ria.ru,223.0,На Западе увидели тревожный знак в словах Трампа о Зеленском,223.0,"['В мире', 'Украина', 'Европа', 'Дональд Трамп', 'Владимир Зеленский']",188,"МОСКВА, 14 апр — РИА Новости. Американский президент Дональд Трамп теряет терпение из-за Владимира Зеленского, заявил профессор Университета Юго-Восточной Норвегии Гленн Дизен в соцсети Х.",,
РИА Новости. ВТОРОЙ РАУНД ПЕРЕГОВОРОВ ИРАНА И США ПРОЙДЕТ В ОМАНЕ - ПРЕДСТАВИТЕЛЬ ИРАНСКОГО МИД,2025-04-03 23:28:00,22.0,['В мире'],True,ria.ru,22.0,Второй раунд переговоров Ирана и США пройдет в Омане,22.0,['В мире'],95,РИА Новости. ВТОРОЙ РАУНД ПЕРЕГОВОРОВ ИРАНА И США ПРОЙДЕТ В ОМАНЕ - ПРЕДСТАВИТЕЛЬ ИРАНСКОГО МИД,,
"МОСКВА, 14 апр - РИА Новости. Сотрудники военкомата в Одессе силой мобилизовали мужчину и ""скрутили"" девушку, которая пыталась вступиться за него, сообщило украинское издание ""Страна.ua"".",2025-04-03 23:26:00,95.0,"['В мире', 'Одесса', 'Украина', 'Дмитрий Лубинец', 'Верховная Рада Украины']",True,ria.ru,95.0,"В Одессе сотрудники военкомата силой мобилизовали мужчину, сообщили СМИ",95.0,"['В мире', 'Одесса', 'Украина', 'Дмитрий Лубинец', 'Верховная Рада Украины']",187,"МОСКВА, 14 апр - РИА Новости. Сотрудники военкомата в Одессе силой мобилизовали мужчину и ""скрутили"" девушку, которая пыталась вступиться за него, сообщило украинское издание ""Страна.ua"".",,
"МОСКВА, 14 апр – РИА Новости. В Троицке рядом со школой и детским садом построили новую автомобильную дорогу вместо временной, рассказал заммэра столицы по градостроительной политике Владимир Ефимов.",2025-04-03 23:23:00,12.0,"['Москва', 'Владимир Ефимов (Правительство Москвы)']",True,ria.ru,12.0,Ефимов: в ТиНАО построили подъездную дорогу к новым детским учреждениям,12.0,"['Москва', 'Владимир Ефимов (Правительство Москвы)']",199,"МОСКВА, 14 апр – РИА Новости. В Троицке рядом со школой и детским садом построили новую автомобильную дорогу вместо временной, рассказал заммэра столицы по градостроительной политике Владимир Ефимов.",,
"МОСКВА, 14 апр — РИА Новости. Южнокорейский автопроизводитель KIA включил Россию в среднесрочный план продаж до 2030 года, сообщило агентство Yonhap.",2025-04-03 23:21:00,342.0,"['Россия', 'Северная Америка', 'Европа', 'Дональд Трамп', 'В мире']",True,ria.ru,342.0,"KIA включил Россию в свой план продаж до 2030 года, сообщили СМИ",342.0,"['Россия', 'Северная Америка', 'Европа', 'Дональд Трамп', 'В мире']",149,"МОСКВА, 14 апр — РИА Новости. Южнокорейский автопроизводитель KIA включил Россию в среднесрочный план продаж до 2030 года, сообщило агентство Yonhap.",,
"НАЛЬЧИК, 14 апр – РИА Новости. Следователи в Ингушетии возбудили уголовное дело после того, как неизвестные застрелили местного жителя в Назрановском районе республики, нападавших, скрывшихся на автомобиле без номеров, ищут, сообщило СУСК РФ по региону.",2025-04-03 23:21:00,135.0,"['Происшествия', 'Назрановский район', 'Россия', 'Республика Ингушетия']",True,ria.ru,135.0,В Ингушетии неизвестные застрелили местного жителя,135.0,"['Происшествия', 'Назрановский район', 'Россия', 'Республика Ингушетия']",253,"НАЛЬЧИК, 14 апр – РИА Новости. Следователи в Ингушетии возбудили уголовное дело после того, как неизвестные застрелили местного жителя в Назрановском районе республики, нападавших, скрывшихся на автомобиле без номеров, ищут, сообщило СУСК РФ по региону.",,
"ТЕГЕРАН, 14 апр – РИА Новости, Марина Вялова. Посольство Российской Федерации в Иране подтвердило РИА Новости информацию о предстоящем в конце этой недели визите главы внешнеполитического ведомства исламской республики Аббаса Аракчи в Москву, среди обсуждаемых тем - двустороннее взаимодействие, а также проблемы регионального и международного уровня.",2025-04-03 23:17:00,207.0,"['В мире', 'Иран', 'США', 'Оман', 'Аббас Аракчи', 'Стив Уиткофф', 'Россия', 'Москва']",True,ria.ru,207.0,Посольство России в Иране подтвердило сообщения о визите Аракчи в Москву,207.0,"['В мире', 'Иран', 'США', 'Оман', 'Аббас Аракчи', 'Стив Уиткофф', 'Россия', 'Москва']",351,"ТЕГЕРАН, 14 апр – РИА Новости, Марина Вялова. Посольство Российской Федерации в Иране подтвердило РИА Новости информацию о предстоящем в конце этой недели визите главы внешнеполитического ведомства исламской республики Аббаса Аракчи в Москву, среди обсуждаемых тем - двустороннее взаимодействие, а также проблемы регионального и международного уровня.",,
"МОСКВА, 14 апр – РИА Новости. В Юго-Восточном административном округе Москвы идет строительство 32 жилых домов в рамках программы реновации, рассказал заммэра столицы по градостроительной политике Владимир Ефимов.",2025-04-03 23:13:00,6.0,"['Москва', 'Владимир Ефимов (Правительство Москвы)']",True,ria.ru,6.0,Ефимов: в ЮВАО построят более 30 новостроек по реновации,6.0,"['Москва', 'Владимир Ефимов (Правительство Москвы)']",213,"МОСКВА, 14 апр – РИА Новости. В Юго-Восточном административном округе Москвы идет строительство 32 жилых домов в рамках программы реновации, рассказал заммэра столицы по градостроительной политике Владимир Ефимов.",,
